,name,last_modified,size
0,VNP46A3.A2016092.h00v01.001.2021125160735.h5,2021-05-05 16:20,607648
1,VNP46A3.A2016092.h00v02.001.2021125160748.h5,2021-05-05 16:26,834960
2,VNP46A3.A2016092.h00v03.001.2021125160805.h5,2021-05-05 16:30,881526
3,VNP46A3.A2016092.h00v06.001.2021125160819.h5,2021-05-05 16:26,613265
4,VNP46A3.A2016092.h00v09.001.2021125120408.h5,2021-05-05 12:11,627715
5,VNP46A3.A2016092.h00v10.001.2021125120401.h5,2021-05-05 12:10,803349
6,VNP46A3.A2016092.h00v11.001.2021125142358.h5,2021-05-05 14:29,650287
7,VNP46A3.A2016092.h00v13.001.2021125120410.h5,2021-05-05 12:11,658071
8,VNP46A3.A2016092.h00v14.001.2021125120424.h5,2021-05-05 12:11,608816
9,VNP46A3.A2016092.h00v15.001.2021125120418.h5,2021-05-05 12:09,608816
10,VNP46A3.A2016092.h00v16.001.2021125120443.h5,2021-05-05 12:10,641400
11,VNP46A3.A2016092.h00v17.001.2021125120416.h5,2021-05-05 12:07,658719
12,VNP46A3.A2016092.h01v02.001.2021125120416.h5,2021-05-05 12:10,2857975
13,VNP46A3.A2016092.h01v03.001.2021125120424.h5,2021-05-05 12:10,1720832
14,VNP46A3.A2016092.h01v06.001.2021125134801.h5,2021-05-05 13:54,619678
15,VNP46A3.A2016092.h01v08.001.2021125120449.h5,2021-05-05 12:12,613120
16,VNP46A3.A2016092.h01v16.001.2021125120442.h5,2021-05-05 12:11,1168227
17,VNP46A3.A2016092.h01v17.001.2021125120431.h5,2021-05-05 12:07,732967
18,VNP46A3.A2016092.h02v01.001.2021125160741.h5,2021-05-05 16:20,607648
19,VNP46A3.A2016092.h02v02.001.2021125120432.h5,2021-05-05 12:10,4709873
20,VNP46A3.A2016092.h02v03.001.2021125120453.h5,2021-05-05 12:12,3062513
21,VNP46A3.A2016092.h02v06.001.2021125120457.h5,2021-05-05 12:12,913162
22,VNP46A3.A2016092.h02v07.001.2021125120452.h5,2021-05-05 12:12,816785
23,VNP46A3.A2016092.h02v08.001.2021125120456.h5,2021-05-05 12:12,638115
24,VNP46A3.A2016092.h02v10.001.2021125120454.h5,2021-05-05 12:12,661610
25,VNP46A3.A2016092.h02v16.001.2021125120454.h5,2021-05-05 12:10,3161151
