,name,last_modified,size
0,VNP46A3.A2018032.h00v01.001.2021125041900.h5,2021-05-05 04:23,1074880
1,VNP46A3.A2018032.h00v02.001.2021125003516.h5,2021-05-05 00:42,6658324
2,VNP46A3.A2018032.h00v03.001.2021125042031.h5,2021-05-05 04:25,881280
3,VNP46A3.A2018032.h00v06.001.2021125041920.h5,2021-05-05 04:24,613193
4,VNP46A3.A2018032.h00v09.001.2021125003500.h5,2021-05-05 00:42,625789
5,VNP46A3.A2018032.h00v10.001.2021125042742.h5,2021-05-05 04:38,805995
6,VNP46A3.A2018032.h00v11.001.2021125161449.h5,2021-05-05 16:30,647804
7,VNP46A3.A2018032.h00v13.001.2021125161441.h5,2021-05-05 16:30,650947
8,VNP46A3.A2018032.h00v14.001.2021125161449.h5,2021-05-05 16:30,608544
9,VNP46A3.A2018032.h00v15.001.2021125041905.h5,2021-05-05 04:23,608632
10,VNP46A3.A2018032.h00v16.001.2021125161416.h5,2021-05-05 16:30,608456
11,VNP46A3.A2018032.h01v02.001.2021125003513.h5,2021-05-05 00:48,12002426
12,VNP46A3.A2018032.h01v03.001.2021125041919.h5,2021-05-05 04:24,2506770
13,VNP46A3.A2018032.h01v06.001.2021125042032.h5,2021-05-05 04:25,618827
14,VNP46A3.A2018032.h01v08.001.2021125161451.h5,2021-05-05 16:30,612735
15,VNP46A3.A2018032.h01v16.001.2021125161426.h5,2021-05-05 16:30,608368
16,VNP46A3.A2018032.h02v01.001.2021125042715.h5,2021-05-05 04:43,2857889
17,VNP46A3.A2018032.h02v02.001.2021125003456.h5,2021-05-05 00:44,24180207
18,VNP46A3.A2018032.h02v03.001.2021125003454.h5,2021-05-05 00:40,5878069
19,VNP46A3.A2018032.h02v06.001.2021125161448.h5,2021-05-05 16:30,856971
20,VNP46A3.A2018032.h02v07.001.2021125161450.h5,2021-05-05 16:30,770120
21,VNP46A3.A2018032.h02v08.001.2021125161448.h5,2021-05-05 16:26,637611
22,VNP46A3.A2018032.h02v10.001.2021125161446.h5,2021-05-05 16:26,660390
23,VNP46A3.A2018032.h02v16.001.2021125161428.h5,2021-05-05 16:26,608456
