,name,last_modified,size
0,VNP46A3.A2016214.h00v01.001.2021126110506.h5,2021-05-06 11:08,607104
1,VNP46A3.A2016214.h00v02.001.2021125191434.h5,2021-05-05 19:26,624127
2,VNP46A3.A2016214.h00v03.001.2021125191434.h5,2021-05-05 19:26,879003
3,VNP46A3.A2016214.h00v06.001.2021125202105.h5,2021-05-05 20:26,613412
4,VNP46A3.A2016214.h00v09.001.2021125191523.h5,2021-05-05 19:28,632083
5,VNP46A3.A2016214.h00v10.001.2021125191452.h5,2021-05-05 19:21,823637
6,VNP46A3.A2016214.h00v11.001.2021125191443.h5,2021-05-05 19:21,651728
7,VNP46A3.A2016214.h00v13.001.2021125191548.h5,2021-05-05 19:31,655202
8,VNP46A3.A2016214.h00v14.001.2021125191524.h5,2021-05-05 19:28,608904
9,VNP46A3.A2016214.h00v15.001.2021125191446.h5,2021-05-05 19:21,608904
10,VNP46A3.A2016214.h00v16.001.2021125191452.h5,2021-05-05 19:21,640950
11,VNP46A3.A2016214.h00v17.001.2021125191445.h5,2021-05-05 19:17,629698
12,VNP46A3.A2016214.h01v02.001.2021125191446.h5,2021-05-05 19:20,1034909
13,VNP46A3.A2016214.h01v03.001.2021125191503.h5,2021-05-05 19:21,1453065
14,VNP46A3.A2016214.h01v06.001.2021125191528.h5,2021-05-05 19:31,619400
15,VNP46A3.A2016214.h01v08.001.2021125191610.h5,2021-05-05 19:32,613070
16,VNP46A3.A2016214.h01v16.001.2021125191541.h5,2021-05-05 19:29,1014194
17,VNP46A3.A2016214.h01v17.001.2021125191509.h5,2021-05-05 19:18,736192
18,VNP46A3.A2016214.h02v01.001.2021126110505.h5,2021-05-06 11:08,607016
19,VNP46A3.A2016214.h02v02.001.2021125191518.h5,2021-05-05 19:26,1397175
20,VNP46A3.A2016214.h02v03.001.2021125201857.h5,2021-05-05 20:24,2034383
21,VNP46A3.A2016214.h02v06.001.2021125191543.h5,2021-05-05 19:26,891439
22,VNP46A3.A2016214.h02v07.001.2021125191529.h5,2021-05-05 19:26,776989
23,VNP46A3.A2016214.h02v08.001.2021125191522.h5,2021-05-05 19:21,638219
24,VNP46A3.A2016214.h02v10.001.2021125191535.h5,2021-05-05 19:27,667654
25,VNP46A3.A2016214.h02v16.001.2021125191556.h5,2021-05-05 19:31,2684110
