,name,last_modified,size
0,VNP46A3.A2017244.h00v01.001.2021126113240.h5,2021-05-06 11:37,853717
1,VNP46A3.A2017244.h00v02.001.2021126190318.h5,2021-05-06 19:14,5523577
2,VNP46A3.A2017244.h00v03.001.2021126190331.h5,2021-05-06 19:14,859900
3,VNP46A3.A2017244.h00v06.001.2021126190201.h5,2021-05-06 19:14,613501
4,VNP46A3.A2017244.h00v09.001.2021126113259.h5,2021-05-06 11:39,632723
5,VNP46A3.A2017244.h00v10.001.2021126113300.h5,2021-05-06 11:39,828159
6,VNP46A3.A2017244.h00v11.001.2021126113258.h5,2021-05-06 11:43,653569
7,VNP46A3.A2017244.h00v13.001.2021126113311.h5,2021-05-06 11:40,653033
8,VNP46A3.A2017244.h00v14.001.2021126113327.h5,2021-05-06 11:40,608816
9,VNP46A3.A2017244.h00v15.001.2021126113259.h5,2021-05-06 11:39,608816
10,VNP46A3.A2017244.h00v16.001.2021126113259.h5,2021-05-06 11:38,616646
11,VNP46A3.A2017244.h00v17.001.2021126113246.h5,2021-05-06 11:38,608816
12,VNP46A3.A2017244.h01v02.001.2021126113300.h5,2021-05-06 11:39,8539302
13,VNP46A3.A2017244.h01v03.001.2021126113302.h5,2021-05-06 11:40,1843237
14,VNP46A3.A2017244.h01v06.001.2021126113340.h5,2021-05-06 11:42,619733
15,VNP46A3.A2017244.h01v08.001.2021126113333.h5,2021-05-06 11:45,612398
16,VNP46A3.A2017244.h01v16.001.2021126113305.h5,2021-05-06 11:40,924103
17,VNP46A3.A2017244.h01v17.001.2021126113245.h5,2021-05-06 11:40,608816
18,VNP46A3.A2017244.h02v01.001.2021126113250.h5,2021-05-06 11:38,1629411
19,VNP46A3.A2017244.h02v02.001.2021126113257.h5,2021-05-06 11:44,14800907
20,VNP46A3.A2017244.h02v03.001.2021126113300.h5,2021-05-06 11:40,2977724
21,VNP46A3.A2017244.h02v06.001.2021126113329.h5,2021-05-06 11:46,883403
22,VNP46A3.A2017244.h02v07.001.2021126113346.h5,2021-05-06 11:40,802272
23,VNP46A3.A2017244.h02v08.001.2021126113314.h5,2021-05-06 11:40,637308
24,VNP46A3.A2017244.h02v10.001.2021126113319.h5,2021-05-06 11:44,668835
25,VNP46A3.A2017244.h02v16.001.2021126113310.h5,2021-05-06 11:44,2473694
26,VNP46A3.A2017244.h02v17.001.2021126113247.h5,2021-05-06 11:38,608816
27,VNP46A3.A2017244.h03v02.001.2021126113308.h5,2021-05-06 11:46,17311332
28,VNP46A3.A2017244.h03v03.001.2021126113308.h5,2021-05-06 11:42,751153
29,VNP46A3.A2017244.h03v09.001.2021126113322.h5,2021-05-06 11:39,635817
30,VNP46A3.A2017244.h03v10.001.2021126113323.h5,2021-05-06 11:41,971726
31,VNP46A3.A2017244.h03v11.001.2021126113351.h5,2021-05-06 11:45,629872
32,VNP46A3.A2017244.h03v16.001.2021126113313.h5,2021-05-06 11:45,6015925
33,VNP46A3.A2017244.h03v17.001.2021126113254.h5,2021-05-06 11:40,711112
34,VNP46A3.A2017244.h04v02.001.2021126113313.h5,2021-05-06 11:41,14403582
35,VNP46A3.A2017244.h04v03.001.2021126113323.h5,2021-05-06 11:45,6287235
36,VNP46A3.A2017244.h04v09.001.2021126113322.h5,2021-05-06 11:44,635942
37,VNP46A3.A2017244.h04v10.001.2021126113330.h5,2021-05-06 11:44,632772
38,VNP46A3.A2017244.h04v11.001.2021126113327.h5,2021-05-06 11:40,657159
39,VNP46A3.A2017244.h04v16.001.2021126113312.h5,2021-05-06 11:44,7843761
40,VNP46A3.A2017244.h04v17.001.2021126113304.h5,2021-05-06 11:43,623636
41,VNP46A3.A2017244.h05v01.001.2021126113303.h5,2021-05-06 11:39,1670247
42,VNP46A3.A2017244.h05v02.001.2021126113316.h5,2021-05-06 11:39,11665980
43,VNP46A3.A2017244.h05v03.001.2021126113329.h5,2021-05-06 11:42,13706834
44,VNP46A3.A2017244.h05v04.001.2021126113332.h5,2021-05-06 11:46,8136462
45,VNP46A3.A2017244.h05v05.001.2021126113323.h5,2021-05-06 11:45,3841318
46,VNP46A3.A2017244.h05v16.001.2021126113313.h5,2021-05-06 11:41,11023916
47,VNP46A3.A2017244.h05v17.001.2021126113259.h5,2021-05-06 11:39,608816
48,VNP46A3.A2017244.h06v01.001.2021126113301.h5,2021-05-06 11:40,4299572
49,VNP46A3.A2017244.h06v02.001.2021126113314.h5,2021-05-06 11:40,10521091
50,VNP46A3.A2017244.h06v03.001.2021126113329.h5,2021-05-06 11:48,18052093
51,VNP46A3.A2017244.h06v04.001.2021126113354.h5,2021-05-06 11:44,14133272
52,VNP46A3.A2017244.h06v05.001.2021126113332.h5,2021-05-06 11:40,12078785
53,VNP46A3.A2017244.h06v06.001.2021126113345.h5,2021-05-06 11:45,2481945
54,VNP46A3.A2017244.h06v16.001.2021126113315.h5,2021-05-06 11:40,9953310
55,VNP46A3.A2017244.h06v17.001.2021126113307.h5,2021-05-06 11:43,608816
56,VNP46A3.A2017244.h07v01.001.2021126113318.h5,2021-05-06 11:43,2559804
57,VNP46A3.A2017244.h07v02.001.2021126113325.h5,2021-05-06 11:46,10940323
58,VNP46A3.A2017244.h07v03.001.2021126113344.h5,2021-05-06 11:47,18609296
59,VNP46A3.A2017244.h07v04.001.2021126113338.h5,2021-05-06 11:43,12318671
60,VNP46A3.A2017244.h07v05.001.2021126113340.h5,2021-05-06 11:42,14251538
61,VNP46A3.A2017244.h07v06.001.2021126113347.h5,2021-05-06 11:40,12050035
62,VNP46A3.A2017244.h07v07.001.2021126113349.h5,2021-05-06 11:39,2299973
63,VNP46A3.A2017244.h07v16.001.2021126113324.h5,2021-05-06 11:41,7806158
