,name,last_modified,size
0,VNP46A3.A2021335.h00v01.001.2022008105112.h5,2022-01-08 10:56,986306
1,VNP46A3.A2021335.h00v02.001.2022008105702.h5,2022-01-08 11:04,5610635
2,VNP46A3.A2021335.h00v03.001.2022008104859.h5,2022-01-08 10:54,894280
3,VNP46A3.A2021335.h00v06.001.2022008104333.h5,2022-01-08 10:49,614492
4,VNP46A3.A2021335.h00v09.001.2022008103733.h5,2022-01-08 10:43,631695
5,VNP46A3.A2021335.h00v10.001.2022008104126.h5,2022-01-08 10:48,814528
6,VNP46A3.A2021335.h00v11.001.2022008104128.h5,2022-01-08 10:47,656493
7,VNP46A3.A2021335.h00v13.001.2022008105704.h5,2022-01-08 11:03,656915
8,VNP46A3.A2021335.h00v14.001.2022008105706.h5,2022-01-08 11:03,610064
9,VNP46A3.A2021335.h00v15.001.2022008111802.h5,2022-01-08 11:22,610064
10,VNP46A3.A2021335.h01v02.001.2022008110631.h5,2022-01-08 11:12,10888317
11,VNP46A3.A2021335.h01v03.001.2022008110431.h5,2022-01-08 11:10,2532526
12,VNP46A3.A2021335.h01v06.001.2022008104129.h5,2022-01-08 10:52,620270
13,VNP46A3.A2021335.h01v08.001.2022008104737.h5,2022-01-08 10:55,614070
14,VNP46A3.A2021335.h02v01.001.2022008105255.h5,2022-01-08 10:59,2630447
15,VNP46A3.A2021335.h02v02.001.2022008112157.h5,2022-01-08 11:28,23150485
16,VNP46A3.A2021335.h02v03.001.2022008111034.h5,2022-01-08 11:16,4975833
17,VNP46A3.A2021335.h02v06.001.2022008104858.h5,2022-01-08 10:55,874424
18,VNP46A3.A2021335.h02v07.001.2022008104339.h5,2022-01-08 10:50,789727
19,VNP46A3.A2021335.h02v08.001.2022008104346.h5,2022-01-08 10:50,637738
20,VNP46A3.A2021335.h02v10.001.2022008104357.h5,2022-01-08 10:50,664364
21,VNP46A3.A2021335.h03v02.001.2022008112603.h5,2022-01-08 11:32,24603621
22,VNP46A3.A2021335.h03v03.001.2022008105456.h5,2022-01-08 11:00,758921
23,VNP46A3.A2021335.h03v09.001.2022008103940.h5,2022-01-08 10:46,636625
24,VNP46A3.A2021335.h03v10.001.2022008104740.h5,2022-01-08 10:56,956206
25,VNP46A3.A2021335.h03v11.001.2022008103941.h5,2022-01-08 10:47,630074
26,VNP46A3.A2021335.h04v02.001.2022008111958.h5,2022-01-08 11:27,26553304
27,VNP46A3.A2021335.h04v03.001.2022008110830.h5,2022-01-08 11:14,9728988
28,VNP46A3.A2021335.h04v09.001.2022008103529.h5,2022-01-08 10:41,636443
29,VNP46A3.A2021335.h04v10.001.2022008104407.h5,2022-01-08 10:51,633700
30,VNP46A3.A2021335.h04v11.001.2022008104531.h5,2022-01-08 10:53,658735
31,VNP46A3.A2021335.h05v01.001.2022008104406.h5,2022-01-08 10:50,3672078
32,VNP46A3.A2021335.h05v02.001.2022008110834.h5,2022-01-08 11:16,28019716
33,VNP46A3.A2021335.h05v03.001.2022008112158.h5,2022-01-08 11:29,32617427
34,VNP46A3.A2021335.h05v04.001.2022008111036.h5,2022-01-08 11:19,13581016
35,VNP46A3.A2021335.h05v05.001.2022008105459.h5,2022-01-08 11:01,4254835
36,VNP46A3.A2021335.h06v01.001.2022008105706.h5,2022-01-08 11:04,8504124
37,VNP46A3.A2021335.h06v02.001.2022008111606.h5,2022-01-08 11:22,24740432
38,VNP46A3.A2021335.h06v03.001.2022008113136.h5,2022-01-08 11:38,32952855
