,name,last_modified,size
0,VNP46A3.A2019032.h00v01.001.2021125003500.h5,2021-05-05 00:41,1149983
1,VNP46A3.A2019032.h00v02.001.2021125042650.h5,2021-05-05 04:31,6565076
2,VNP46A3.A2019032.h00v03.001.2021125003528.h5,2021-05-05 00:42,873925
3,VNP46A3.A2019032.h00v06.001.2021125042034.h5,2021-05-05 04:32,613275
4,VNP46A3.A2019032.h00v09.001.2021125003556.h5,2021-05-05 00:44,615031
5,VNP46A3.A2019032.h00v10.001.2021125075010.h5,2021-05-05 07:56,782223
6,VNP46A3.A2019032.h00v11.001.2021125042048.h5,2021-05-05 04:29,650946
7,VNP46A3.A2019032.h00v13.001.2021125042001.h5,2021-05-05 04:24,651206
8,VNP46A3.A2019032.h00v14.001.2021125042000.h5,2021-05-05 04:29,608632
9,VNP46A3.A2019032.h00v15.001.2021125041959.h5,2021-05-05 04:24,608632
10,VNP46A3.A2019032.h00v16.001.2021125161856.h5,2021-05-05 16:34,608456
11,VNP46A3.A2019032.h01v02.001.2021125042003.h5,2021-05-05 04:26,12104004
12,VNP46A3.A2019032.h01v03.001.2021125042008.h5,2021-05-05 04:25,2511410
13,VNP46A3.A2019032.h01v06.001.2021125003634.h5,2021-05-05 00:43,618542
14,VNP46A3.A2019032.h01v08.001.2021125003644.h5,2021-05-05 00:53,610931
15,VNP46A3.A2019032.h01v16.001.2021125161857.h5,2021-05-05 16:30,608456
16,VNP46A3.A2019032.h02v01.001.2021125042032.h5,2021-05-05 04:30,3197110
17,VNP46A3.A2019032.h02v02.001.2021125003610.h5,2021-05-05 00:47,26574790
18,VNP46A3.A2019032.h02v03.001.2021125003612.h5,2021-05-05 00:48,5308585
19,VNP46A3.A2019032.h02v06.001.2021125075557.h5,2021-05-05 08:04,870539
20,VNP46A3.A2019032.h02v07.001.2021125003624.h5,2021-05-05 00:43,773241
21,VNP46A3.A2019032.h02v08.001.2021125042129.h5,2021-05-05 04:31,637206
22,VNP46A3.A2019032.h02v10.001.2021125075259.h5,2021-05-05 08:02,657665
23,VNP46A3.A2019032.h02v16.001.2021125161858.h5,2021-05-05 16:34,608456
24,VNP46A3.A2019032.h03v02.001.2021125042150.h5,2021-05-05 04:37,30644445
25,VNP46A3.A2019032.h03v03.001.2021125042042.h5,2021-05-05 04:32,845029
26,VNP46A3.A2019032.h03v09.001.2021125042037.h5,2021-05-05 04:26,634405
27,VNP46A3.A2019032.h03v10.001.2021125003655.h5,2021-05-05 00:44,936704
