,name,last_modified,size
0,VNP46A3.A2016245.h00v01.001.2021126112759.h5,2021-05-06 11:33,938456
1,VNP46A3.A2016245.h00v02.001.2021126112805.h5,2021-05-06 11:36,4706354
2,VNP46A3.A2016245.h00v03.001.2021126112952.h5,2021-05-06 11:39,860672
3,VNP46A3.A2016245.h00v06.001.2021126112902.h5,2021-05-06 11:35,613549
4,VNP46A3.A2016245.h00v09.001.2021126112928.h5,2021-05-06 11:38,632965
5,VNP46A3.A2016245.h00v10.001.2021126112810.h5,2021-05-06 11:36,824743
6,VNP46A3.A2016245.h00v11.001.2021126113003.h5,2021-05-06 11:39,654501
7,VNP46A3.A2016245.h00v13.001.2021126112810.h5,2021-05-06 11:36,657768
8,VNP46A3.A2016245.h00v14.001.2021126112938.h5,2021-05-06 11:35,608816
9,VNP46A3.A2016245.h00v15.001.2021126112839.h5,2021-05-06 11:34,608816
10,VNP46A3.A2016245.h00v16.001.2021126112816.h5,2021-05-06 11:33,627662
11,VNP46A3.A2016245.h00v17.001.2021126112745.h5,2021-05-06 11:32,608816
12,VNP46A3.A2016245.h01v02.001.2021126112810.h5,2021-05-06 11:33,7671072
13,VNP46A3.A2016245.h01v03.001.2021126113006.h5,2021-05-06 11:36,1756227
14,VNP46A3.A2016245.h01v06.001.2021126130144.h5,2021-05-06 13:07,618761
15,VNP46A3.A2016245.h01v08.001.2021126112847.h5,2021-05-06 11:36,613022
16,VNP46A3.A2016245.h01v16.001.2021126112822.h5,2021-05-06 11:34,798610
17,VNP46A3.A2016245.h01v17.001.2021126124506.h5,2021-05-06 12:49,608816
18,VNP46A3.A2016245.h02v01.001.2021126112749.h5,2021-05-06 11:34,1652633
19,VNP46A3.A2016245.h02v02.001.2021126112819.h5,2021-05-06 11:37,17573998
20,VNP46A3.A2016245.h02v03.001.2021126112801.h5,2021-05-06 11:35,3156201
21,VNP46A3.A2016245.h02v06.001.2021126112928.h5,2021-05-06 11:35,897915
