,name,last_modified,size
0,VNP46A3.A2014001.h00v01.001.2021124163654.h5,2021-05-04 16:45,975219
1,VNP46A3.A2014001.h00v02.001.2021124163657.h5,2021-05-04 16:45,6121508
2,VNP46A3.A2014001.h00v03.001.2021125042610.h5,2021-05-05 04:34,891898
3,VNP46A3.A2014001.h00v06.001.2021124163706.h5,2021-05-04 16:55,612914
4,VNP46A3.A2014001.h00v09.001.2021125042459.h5,2021-05-05 04:35,627385
5,VNP46A3.A2014001.h00v10.001.2021125003202.h5,2021-05-05 00:41,778444
6,VNP46A3.A2014001.h00v11.001.2021125003138.h5,2021-05-05 00:45,648049
7,VNP46A3.A2014001.h00v13.001.2021124163703.h5,2021-05-04 16:47,654935
8,VNP46A3.A2014001.h00v14.001.2021125041431.h5,2021-05-05 04:19,608904
9,VNP46A3.A2014001.h00v15.001.2021125041433.h5,2021-05-05 04:19,608904
10,VNP46A3.A2014001.h01v02.001.2021125003143.h5,2021-05-05 00:42,11218123
11,VNP46A3.A2014001.h01v03.001.2021125003223.h5,2021-05-05 00:39,2282873
12,VNP46A3.A2014001.h01v06.001.2021124163726.h5,2021-05-04 16:49,619087
13,VNP46A3.A2014001.h01v08.001.2021124163756.h5,2021-05-04 16:50,612764
14,VNP46A3.A2014001.h02v01.001.2021125041352.h5,2021-05-05 04:19,2322781
15,VNP46A3.A2014001.h02v02.001.2021124163752.h5,2021-05-04 16:51,24586700
16,VNP46A3.A2014001.h02v03.001.2021125003146.h5,2021-05-05 00:41,4683884
17,VNP46A3.A2014001.h02v06.001.2021124163727.h5,2021-05-04 16:49,876830
18,VNP46A3.A2014001.h02v07.001.2021124163727.h5,2021-05-04 16:49,775120
19,VNP46A3.A2014001.h02v08.001.2021125003114.h5,2021-05-05 00:45,636887
20,VNP46A3.A2014001.h02v10.001.2021125003135.h5,2021-05-05 00:41,662338
21,VNP46A3.A2014001.h03v02.001.2021125041505.h5,2021-05-05 04:22,25280958
22,VNP46A3.A2014001.h03v03.001.2021124163717.h5,2021-05-04 16:45,769835
23,VNP46A3.A2014001.h03v09.001.2021124163714.h5,2021-05-04 16:47,634929
24,VNP46A3.A2014001.h03v10.001.2021125041722.h5,2021-05-05 04:29,929169
25,VNP46A3.A2014001.h03v11.001.2021124163724.h5,2021-05-04 16:47,627360
26,VNP46A3.A2014001.h04v02.001.2021124163718.h5,2021-05-04 16:47,22666298
27,VNP46A3.A2014001.h04v03.001.2021124163723.h5,2021-05-04 16:47,8518332
28,VNP46A3.A2014001.h04v09.001.2021124163731.h5,2021-05-04 16:47,634971
29,VNP46A3.A2014001.h04v10.001.2021124163757.h5,2021-05-04 16:50,628114
30,VNP46A3.A2014001.h04v11.001.2021124163832.h5,2021-05-04 16:56,654461
31,VNP46A3.A2014001.h05v01.001.2021125003155.h5,2021-05-05 00:40,3651408
32,VNP46A3.A2014001.h05v02.001.2021125003204.h5,2021-05-05 00:42,23515423
33,VNP46A3.A2014001.h05v03.001.2021125003207.h5,2021-05-05 00:43,28223725
34,VNP46A3.A2014001.h05v04.001.2021125003136.h5,2021-05-05 00:40,10767625
35,VNP46A3.A2014001.h05v05.001.2021125041508.h5,2021-05-05 04:21,3844544
36,VNP46A3.A2014001.h06v01.001.2021125003154.h5,2021-05-05 00:41,7462124
37,VNP46A3.A2014001.h06v02.001.2021125041406.h5,2021-05-05 04:22,19228009
38,VNP46A3.A2014001.h06v03.001.2021125003112.h5,2021-05-05 00:40,32602496
39,VNP46A3.A2014001.h06v04.001.2021125041510.h5,2021-05-05 04:22,29544470
40,VNP46A3.A2014001.h06v05.001.2021124163744.h5,2021-05-04 16:47,17247515
41,VNP46A3.A2014001.h06v06.001.2021125003254.h5,2021-05-05 00:41,2720023
42,VNP46A3.A2014001.h07v01.001.2021124163912.h5,2021-05-04 16:54,5489607
43,VNP46A3.A2014001.h07v02.001.2021125003255.h5,2021-05-05 00:43,16301930
44,VNP46A3.A2014001.h07v03.001.2021125041452.h5,2021-05-05 04:22,26239094
45,VNP46A3.A2014001.h07v04.001.2021125041558.h5,2021-05-05 04:23,27192141
46,VNP46A3.A2014001.h07v05.001.2021125041611.h5,2021-05-05 04:27,18508678
47,VNP46A3.A2014001.h07v06.001.2021125003145.h5,2021-05-05 00:41,10324669
48,VNP46A3.A2014001.h07v07.001.2021125041600.h5,2021-05-05 04:34,2187945
49,VNP46A3.A2014001.h08v00.001.2021124163747.h5,2021-05-04 16:40,1084552
50,VNP46A3.A2014001.h08v01.001.2021125041552.h5,2021-05-05 04:25,7567254
51,VNP46A3.A2014001.h08v02.001.2021124163801.h5,2021-05-04 16:47,13652285
52,VNP46A3.A2014001.h08v03.001.2021124163814.h5,2021-05-04 16:48,27653033
53,VNP46A3.A2014001.h08v04.001.2021125003228.h5,2021-05-05 00:42,32406415
54,VNP46A3.A2014001.h08v05.001.2021124163830.h5,2021-05-04 16:48,27150899
55,VNP46A3.A2014001.h08v06.001.2021124163824.h5,2021-05-04 17:00,8479019
56,VNP46A3.A2014001.h08v07.001.2021124163821.h5,2021-05-04 16:47,8621205
57,VNP46A3.A2014001.h08v08.001.2021125042430.h5,2021-05-05 04:30,629738
