,name,last_modified,size
0,VNP46A3.A2017001.h00v01.001.2021124225847.h5,2021-05-04 23:12,1039073
1,VNP46A3.A2017001.h00v02.001.2021125030104.h5,2021-05-05 03:08,5866784
2,VNP46A3.A2017001.h00v03.001.2021124225905.h5,2021-05-04 23:13,996537
3,VNP46A3.A2017001.h00v06.001.2021124225903.h5,2021-05-04 23:13,613243
4,VNP46A3.A2017001.h00v09.001.2021125031154.h5,2021-05-05 03:20,631379
5,VNP46A3.A2017001.h00v10.001.2021124225927.h5,2021-05-04 23:16,801965
6,VNP46A3.A2017001.h00v11.001.2021124225854.h5,2021-05-04 23:05,651225
7,VNP46A3.A2017001.h00v13.001.2021124230006.h5,2021-05-04 23:11,653122
8,VNP46A3.A2017001.h00v14.001.2021125025830.h5,2021-05-05 03:03,608904
9,VNP46A3.A2017001.h00v15.001.2021124225914.h5,2021-05-04 23:04,608904
10,VNP46A3.A2017001.h01v02.001.2021124225921.h5,2021-05-04 23:05,12452656
11,VNP46A3.A2017001.h01v03.001.2021124225959.h5,2021-05-04 23:18,3062360
12,VNP46A3.A2017001.h01v06.001.2021124225933.h5,2021-05-04 23:14,619686
13,VNP46A3.A2017001.h01v08.001.2021124230007.h5,2021-05-04 23:10,612750
14,VNP46A3.A2017001.h02v01.001.2021124230007.h5,2021-05-04 23:11,2894335
15,VNP46A3.A2017001.h02v02.001.2021124230014.h5,2021-05-04 23:14,28198336
16,VNP46A3.A2017001.h02v03.001.2021124225943.h5,2021-05-04 23:05,6701662
17,VNP46A3.A2017001.h02v06.001.2021124230127.h5,2021-05-04 23:16,879791
18,VNP46A3.A2017001.h02v07.001.2021124230128.h5,2021-05-04 23:16,778079
19,VNP46A3.A2017001.h02v08.001.2021125030104.h5,2021-05-05 03:08,638234
20,VNP46A3.A2017001.h02v10.001.2021124230122.h5,2021-05-04 23:16,663183
21,VNP46A3.A2017001.h03v02.001.2021124230107.h5,2021-05-04 23:18,30640448
22,VNP46A3.A2017001.h03v03.001.2021124230220.h5,2021-05-04 23:16,817145
23,VNP46A3.A2017001.h03v09.001.2021124230110.h5,2021-05-04 23:13,634709
24,VNP46A3.A2017001.h03v10.001.2021125031440.h5,2021-05-05 03:29,915130
25,VNP46A3.A2017001.h03v11.001.2021124230133.h5,2021-05-04 23:20,628784
26,VNP46A3.A2017001.h04v02.001.2021124230225.h5,2021-05-04 23:20,28004155
27,VNP46A3.A2017001.h04v03.001.2021124230116.h5,2021-05-04 23:12,10683892
28,VNP46A3.A2017001.h04v09.001.2021124230139.h5,2021-05-04 23:19,633600
29,VNP46A3.A2017001.h04v10.001.2021124230152.h5,2021-05-04 23:19,630673
30,VNP46A3.A2017001.h04v11.001.2021124230133.h5,2021-05-04 23:16,654703
31,VNP46A3.A2017001.h05v01.001.2021124230102.h5,2021-05-04 23:10,4098912
32,VNP46A3.A2017001.h05v02.001.2021124230133.h5,2021-05-04 23:16,28050980
33,VNP46A3.A2017001.h05v03.001.2021124230146.h5,2021-05-04 23:16,31643282
34,VNP46A3.A2017001.h05v04.001.2021124230150.h5,2021-05-04 23:16,15563033
35,VNP46A3.A2017001.h05v05.001.2021124230148.h5,2021-05-04 23:20,4190318
36,VNP46A3.A2017001.h06v01.001.2021124230110.h5,2021-05-04 23:08,8818949
37,VNP46A3.A2017001.h06v02.001.2021125070043.h5,2021-05-05 07:12,24335154
38,VNP46A3.A2017001.h06v03.001.2021124230152.h5,2021-05-04 23:28,35763806
39,VNP46A3.A2017001.h06v04.001.2021124230213.h5,2021-05-04 23:16,28872642
40,VNP46A3.A2017001.h06v05.001.2021125030342.h5,2021-05-05 03:18,18121186
41,VNP46A3.A2017001.h06v06.001.2021124230145.h5,2021-05-04 23:09,2706521
42,VNP46A3.A2017001.h07v01.001.2021124230227.h5,2021-05-04 23:13,6784125
43,VNP46A3.A2017001.h07v02.001.2021125031436.h5,2021-05-05 03:24,20192644
44,VNP46A3.A2017001.h07v03.001.2021124230225.h5,2021-05-04 23:22,33377539
45,VNP46A3.A2017001.h07v04.001.2021124230237.h5,2021-05-04 23:20,24816401
46,VNP46A3.A2017001.h07v05.001.2021124230242.h5,2021-05-04 23:14,18404744
47,VNP46A3.A2017001.h07v06.001.2021124230218.h5,2021-05-04 23:11,10975498
48,VNP46A3.A2017001.h07v07.001.2021124230228.h5,2021-05-04 23:12,2146930
49,VNP46A3.A2017001.h08v00.001.2021124230209.h5,2021-05-04 23:04,1197226
50,VNP46A3.A2017001.h08v01.001.2021124230251.h5,2021-05-04 23:20,9297163
51,VNP46A3.A2017001.h08v02.001.2021125031721.h5,2021-05-05 03:31,16834481
52,VNP46A3.A2017001.h08v03.001.2021124230256.h5,2021-05-04 23:22,31025035
53,VNP46A3.A2017001.h08v04.001.2021124230238.h5,2021-05-04 23:10,33182868
54,VNP46A3.A2017001.h08v05.001.2021124230354.h5,2021-05-04 23:18,23325151
55,VNP46A3.A2017001.h08v06.001.2021124230319.h5,2021-05-04 23:10,8475777
56,VNP46A3.A2017001.h08v07.001.2021124230414.h5,2021-05-04 23:25,8430116
57,VNP46A3.A2017001.h08v08.001.2021125030301.h5,2021-05-05 03:12,630439
58,VNP46A3.A2017001.h08v09.001.2021124230416.h5,2021-05-04 23:22,771015
59,VNP46A3.A2017001.h09v00.001.2021124230340.h5,2021-05-04 23:06,2265643
60,VNP46A3.A2017001.h09v01.001.2021124230407.h5,2021-05-04 23:20,13662563
61,VNP46A3.A2017001.h09v02.001.2021124230409.h5,2021-05-04 23:18,8533886
62,VNP46A3.A2017001.h09v03.001.2021124230428.h5,2021-05-04 23:24,14908639
