,name,last_modified,size
0,VNP46A3.A2014244.h00v01.001.2021126111721.h5,2021-05-06 11:23,775062
1,VNP46A3.A2014244.h00v02.001.2021126111752.h5,2021-05-06 11:24,3498888
2,VNP46A3.A2014244.h00v03.001.2021126111753.h5,2021-05-06 11:25,853388
3,VNP46A3.A2014244.h00v06.001.2021126111754.h5,2021-05-06 11:25,613661
4,VNP46A3.A2014244.h00v09.001.2021126111741.h5,2021-05-06 11:25,631797
5,VNP46A3.A2014244.h00v10.001.2021126115236.h5,2021-05-06 12:00,837334
6,VNP46A3.A2014244.h00v11.001.2021126111758.h5,2021-05-06 11:25,652176
7,VNP46A3.A2014244.h00v13.001.2021126115558.h5,2021-05-06 12:05,657116
8,VNP46A3.A2014244.h00v14.001.2021126111845.h5,2021-05-06 11:26,608816
9,VNP46A3.A2014244.h00v15.001.2021126111833.h5,2021-05-06 11:25,608816
10,VNP46A3.A2014244.h00v16.001.2021126115541.h5,2021-05-06 12:03,620666
11,VNP46A3.A2014244.h00v17.001.2021126111853.h5,2021-05-06 11:24,610423
12,VNP46A3.A2014244.h01v02.001.2021126111738.h5,2021-05-06 11:25,5933021
13,VNP46A3.A2014244.h01v03.001.2021126115618.h5,2021-05-06 12:03,1703062
14,VNP46A3.A2014244.h01v06.001.2021126111747.h5,2021-05-06 11:25,619370
15,VNP46A3.A2014244.h01v08.001.2021126115233.h5,2021-05-06 12:00,612222
16,VNP46A3.A2014244.h01v16.001.2021126111800.h5,2021-05-06 11:29,865399
17,VNP46A3.A2014244.h01v17.001.2021126112111.h5,2021-05-06 11:32,608816
18,VNP46A3.A2014244.h02v01.001.2021126111729.h5,2021-05-06 11:24,1710754
19,VNP46A3.A2014244.h02v02.001.2021126111741.h5,2021-05-06 11:26,14327897
20,VNP46A3.A2014244.h02v03.001.2021126111751.h5,2021-05-06 11:25,2897346
21,VNP46A3.A2014244.h02v06.001.2021126111748.h5,2021-05-06 11:31,887004
22,VNP46A3.A2014244.h02v07.001.2021126111750.h5,2021-05-06 11:26,788803
