,name,last_modified,size
0,VNP46A3.A2017213.h00v01.001.2021126110559.h5,2021-05-06 11:08,607016
1,VNP46A3.A2017213.h00v02.001.2021125190735.h5,2021-05-05 19:12,636123
2,VNP46A3.A2017213.h00v03.001.2021125190807.h5,2021-05-05 19:18,859278
3,VNP46A3.A2017213.h00v06.001.2021125190807.h5,2021-05-05 19:26,613441
4,VNP46A3.A2017213.h00v09.001.2021125190851.h5,2021-05-05 19:22,632321
5,VNP46A3.A2017213.h00v10.001.2021125190804.h5,2021-05-05 19:13,833891
6,VNP46A3.A2017213.h00v11.001.2021125190811.h5,2021-05-05 19:24,651768
7,VNP46A3.A2017213.h00v13.001.2021125190845.h5,2021-05-05 19:18,657165
8,VNP46A3.A2017213.h00v14.001.2021125190833.h5,2021-05-05 19:21,608904
9,VNP46A3.A2017213.h00v15.001.2021125191923.h5,2021-05-05 19:31,608904
10,VNP46A3.A2017213.h00v16.001.2021125191913.h5,2021-05-05 19:31,637982
11,VNP46A3.A2017213.h00v17.001.2021125191902.h5,2021-05-05 19:24,626562
12,VNP46A3.A2017213.h01v02.001.2021125191840.h5,2021-05-05 19:24,1671675
13,VNP46A3.A2017213.h01v03.001.2021125191843.h5,2021-05-05 19:24,1675269
14,VNP46A3.A2017213.h01v06.001.2021125192023.h5,2021-05-05 19:31,618809
15,VNP46A3.A2017213.h01v08.001.2021125191902.h5,2021-05-05 19:26,613293
16,VNP46A3.A2017213.h01v16.001.2021125191857.h5,2021-05-05 19:25,997520
17,VNP46A3.A2017213.h01v17.001.2021125191852.h5,2021-05-05 19:21,731940
18,VNP46A3.A2017213.h02v01.001.2021126110554.h5,2021-05-06 11:12,607104
19,VNP46A3.A2017213.h02v02.001.2021125191851.h5,2021-05-05 19:24,1113176
20,VNP46A3.A2017213.h02v03.001.2021125191902.h5,2021-05-05 19:25,2174855
21,VNP46A3.A2017213.h02v06.001.2021125191916.h5,2021-05-05 19:26,902270
22,VNP46A3.A2017213.h02v07.001.2021125192010.h5,2021-05-05 19:32,792716
23,VNP46A3.A2017213.h02v08.001.2021125191957.h5,2021-05-05 19:50,637800
24,VNP46A3.A2017213.h02v10.001.2021125191956.h5,2021-05-05 19:32,667835
25,VNP46A3.A2017213.h02v16.001.2021125191936.h5,2021-05-05 19:32,2275957
26,VNP46A3.A2017213.h02v17.001.2021125191916.h5,2021-05-05 19:24,1353688
27,VNP46A3.A2017213.h03v02.001.2021125191920.h5,2021-05-05 19:50,1012231
28,VNP46A3.A2017213.h03v03.001.2021125191916.h5,2021-05-05 19:25,621764
29,VNP46A3.A2017213.h03v09.001.2021125191921.h5,2021-05-05 19:26,636380
30,VNP46A3.A2017213.h03v10.001.2021125192017.h5,2021-05-05 19:31,969802
31,VNP46A3.A2017213.h03v11.001.2021125191949.h5,2021-05-05 19:31,630291
32,VNP46A3.A2017213.h03v16.001.2021125191920.h5,2021-05-05 19:26,5422968
33,VNP46A3.A2017213.h03v17.001.2021125191945.h5,2021-05-05 19:24,2323861
34,VNP46A3.A2017213.h04v02.001.2021125191916.h5,2021-05-05 19:25,2117720
35,VNP46A3.A2017213.h04v03.001.2021125191937.h5,2021-05-05 19:30,3980434
36,VNP46A3.A2017213.h04v09.001.2021125192043.h5,2021-05-05 19:50,635453
37,VNP46A3.A2017213.h04v10.001.2021125192047.h5,2021-05-05 19:50,632949
38,VNP46A3.A2017213.h04v11.001.2021125192104.h5,2021-05-05 19:50,658456
39,VNP46A3.A2017213.h04v16.001.2021125192010.h5,2021-05-05 19:32,7623494
40,VNP46A3.A2017213.h04v17.001.2021125191940.h5,2021-05-05 19:24,2457793
41,VNP46A3.A2017213.h05v01.001.2021126110555.h5,2021-05-06 11:12,607016
42,VNP46A3.A2017213.h05v02.001.2021125191947.h5,2021-05-05 19:30,3288228
43,VNP46A3.A2017213.h05v03.001.2021125192004.h5,2021-05-05 19:32,14503967
44,VNP46A3.A2017213.h05v04.001.2021125192008.h5,2021-05-05 19:32,7858048
45,VNP46A3.A2017213.h05v05.001.2021125192026.h5,2021-05-05 19:31,3626531
