,name,last_modified,size
0,VNP46A3.A2017274.h00v01.001.2021126130505.h5,2021-05-06 13:10,1186472
1,VNP46A3.A2017274.h00v02.001.2021126130516.h5,2021-05-06 13:11,8030437
2,VNP46A3.A2017274.h00v03.001.2021126130405.h5,2021-05-06 13:09,858206
3,VNP46A3.A2017274.h00v06.001.2021126132130.h5,2021-05-06 13:27,613889
4,VNP46A3.A2017274.h00v09.001.2021126130639.h5,2021-05-06 13:12,631616
5,VNP46A3.A2017274.h00v10.001.2021126130552.h5,2021-05-06 13:11,837852
6,VNP46A3.A2017274.h00v11.001.2021126130633.h5,2021-05-06 13:12,657094
7,VNP46A3.A2017274.h00v13.001.2021126130709.h5,2021-05-06 13:12,653699
8,VNP46A3.A2017274.h00v14.001.2021126130823.h5,2021-05-06 13:13,608904
9,VNP46A3.A2017274.h00v15.001.2021126130508.h5,2021-05-06 13:10,608904
10,VNP46A3.A2017274.h00v16.001.2021126130544.h5,2021-05-06 13:10,608904
11,VNP46A3.A2017274.h00v17.001.2021126191223.h5,2021-05-06 19:23,606832
12,VNP46A3.A2017274.h01v02.001.2021126132414.h5,2021-05-06 13:30,13103613
13,VNP46A3.A2017274.h01v03.001.2021126130509.h5,2021-05-06 13:10,2210530
14,VNP46A3.A2017274.h01v06.001.2021126130658.h5,2021-05-06 13:12,620083
15,VNP46A3.A2017274.h01v08.001.2021126130811.h5,2021-05-06 13:13,613447
16,VNP46A3.A2017274.h01v16.001.2021126130528.h5,2021-05-06 13:10,608904
17,VNP46A3.A2017274.h01v17.001.2021126191129.h5,2021-05-06 19:23,606832
18,VNP46A3.A2017274.h02v01.001.2021126130845.h5,2021-05-06 13:14,2837055
19,VNP46A3.A2017274.h02v02.001.2021126130640.h5,2021-05-06 13:13,23840170
20,VNP46A3.A2017274.h02v03.001.2021126130641.h5,2021-05-06 13:12,4286615
21,VNP46A3.A2017274.h02v06.001.2021126130627.h5,2021-05-06 13:12,898465
22,VNP46A3.A2017274.h02v07.001.2021126130717.h5,2021-05-06 13:13,799989
23,VNP46A3.A2017274.h02v08.001.2021126130752.h5,2021-05-06 13:13,637455
24,VNP46A3.A2017274.h02v10.001.2021126130823.h5,2021-05-06 13:14,668656
25,VNP46A3.A2017274.h02v16.001.2021126130501.h5,2021-05-06 13:09,608904
26,VNP46A3.A2017274.h02v17.001.2021126191105.h5,2021-05-06 19:23,606832
27,VNP46A3.A2017274.h03v02.001.2021126130806.h5,2021-05-06 13:15,25543185
28,VNP46A3.A2017274.h03v03.001.2021126130611.h5,2021-05-06 13:11,789094
29,VNP46A3.A2017274.h03v09.001.2021126130648.h5,2021-05-06 13:12,636319
30,VNP46A3.A2017274.h03v10.001.2021126130752.h5,2021-05-06 13:13,974810
31,VNP46A3.A2017274.h03v11.001.2021126130743.h5,2021-05-06 13:13,630601
32,VNP46A3.A2017274.h03v16.001.2021126132828.h5,2021-05-06 13:33,608904
33,VNP46A3.A2017274.h03v17.001.2021126191517.h5,2021-05-06 19:27,606832
34,VNP46A3.A2017274.h04v02.001.2021126133029.h5,2021-05-06 13:37,24366193
35,VNP46A3.A2017274.h04v03.001.2021126130734.h5,2021-05-06 13:13,8170836
36,VNP46A3.A2017274.h04v09.001.2021126130852.h5,2021-05-06 13:14,635778
37,VNP46A3.A2017274.h04v10.001.2021126130546.h5,2021-05-06 13:11,633499
38,VNP46A3.A2017274.h04v11.001.2021126130935.h5,2021-05-06 13:15,660057
39,VNP46A3.A2017274.h04v16.001.2021126130802.h5,2021-05-06 13:13,608904
40,VNP46A3.A2017274.h04v17.001.2021126191215.h5,2021-05-06 19:23,606832
41,VNP46A3.A2017274.h05v01.001.2021126132757.h5,2021-05-06 13:33,5714956
42,VNP46A3.A2017274.h05v02.001.2021126130840.h5,2021-05-06 13:15,23949295
43,VNP46A3.A2017274.h05v03.001.2021126130855.h5,2021-05-06 13:15,17668737
44,VNP46A3.A2017274.h05v04.001.2021126132413.h5,2021-05-06 13:30,7953664
45,VNP46A3.A2017274.h05v05.001.2021126130853.h5,2021-05-06 13:14,3782552
46,VNP46A3.A2017274.h05v16.001.2021126131032.h5,2021-05-06 13:14,608904
47,VNP46A3.A2017274.h05v17.001.2021126191208.h5,2021-05-06 19:23,606832
48,VNP46A3.A2017274.h06v01.001.2021126130649.h5,2021-05-06 13:13,12738190
49,VNP46A3.A2017274.h06v02.001.2021126130854.h5,2021-05-06 13:16,22565729
50,VNP46A3.A2017274.h06v03.001.2021126131012.h5,2021-05-06 13:17,18312741
51,VNP46A3.A2017274.h06v04.001.2021126131153.h5,2021-05-06 13:18,14290968
52,VNP46A3.A2017274.h06v05.001.2021126132611.h5,2021-05-06 13:34,12977238
53,VNP46A3.A2017274.h06v06.001.2021126130833.h5,2021-05-06 13:31,2788014
54,VNP46A3.A2017274.h06v16.001.2021126130844.h5,2021-05-06 13:13,608904
55,VNP46A3.A2017274.h06v17.001.2021126191024.h5,2021-05-06 19:23,606832
56,VNP46A3.A2017274.h07v01.001.2021126130838.h5,2021-05-06 13:14,10089453
57,VNP46A3.A2017274.h07v02.001.2021126130736.h5,2021-05-06 13:14,24222935
58,VNP46A3.A2017274.h07v03.001.2021126130822.h5,2021-05-06 13:15,19810995
59,VNP46A3.A2017274.h07v04.001.2021126131012.h5,2021-05-06 13:17,13462827
60,VNP46A3.A2017274.h07v05.001.2021126132924.h5,2021-05-06 13:37,14035219
61,VNP46A3.A2017274.h07v06.001.2021126131128.h5,2021-05-06 13:18,12899083
62,VNP46A3.A2017274.h07v07.001.2021126131114.h5,2021-05-06 13:17,2629585
63,VNP46A3.A2017274.h07v16.001.2021126133047.h5,2021-05-06 13:37,608904
64,VNP46A3.A2017274.h07v17.001.2021126191233.h5,2021-05-06 19:23,606832
65,VNP46A3.A2017274.h08v00.001.2021126130748.h5,2021-05-06 13:12,1630656
66,VNP46A3.A2017274.h08v01.001.2021126130822.h5,2021-05-06 13:14,10936825
67,VNP46A3.A2017274.h08v02.001.2021126131025.h5,2021-05-06 13:17,20205278
68,VNP46A3.A2017274.h08v03.001.2021126130841.h5,2021-05-06 13:15,20115721
69,VNP46A3.A2017274.h08v04.001.2021126130840.h5,2021-05-06 13:15,17322515
70,VNP46A3.A2017274.h08v05.001.2021126131210.h5,2021-05-06 13:19,23973192
71,VNP46A3.A2017274.h08v06.001.2021126131234.h5,2021-05-06 13:18,9572735
72,VNP46A3.A2017274.h08v07.001.2021126130941.h5,2021-05-06 13:16,9195984
73,VNP46A3.A2017274.h08v08.001.2021126131233.h5,2021-05-06 13:18,632477
74,VNP46A3.A2017274.h08v09.001.2021126130934.h5,2021-05-06 13:15,776528
75,VNP46A3.A2017274.h08v16.001.2021126131153.h5,2021-05-06 13:17,608904
76,VNP46A3.A2017274.h08v17.001.2021126191257.h5,2021-05-06 19:23,606832
77,VNP46A3.A2017274.h09v00.001.2021126130955.h5,2021-05-06 13:15,3254197
78,VNP46A3.A2017274.h09v01.001.2021126130936.h5,2021-05-06 13:16,16221563
79,VNP46A3.A2017274.h09v02.001.2021126131211.h5,2021-05-06 13:17,11217556
80,VNP46A3.A2017274.h09v03.001.2021126130914.h5,2021-05-06 13:15,8142061
81,VNP46A3.A2017274.h09v04.001.2021126131113.h5,2021-05-06 13:18,19953693
82,VNP46A3.A2017274.h09v05.001.2021126130959.h5,2021-05-06 13:17,29557874
83,VNP46A3.A2017274.h09v06.001.2021126130936.h5,2021-05-06 13:15,6698819
84,VNP46A3.A2017274.h09v07.001.2021126131013.h5,2021-05-06 13:16,6841347
85,VNP46A3.A2017274.h09v08.001.2021126131214.h5,2021-05-06 13:18,1931081
86,VNP46A3.A2017274.h09v09.001.2021126131021.h5,2021-05-06 13:23,2009225
87,VNP46A3.A2017274.h09v16.001.2021126131034.h5,2021-05-06 13:15,608904
88,VNP46A3.A2017274.h09v17.001.2021126191252.h5,2021-05-06 19:23,606832
89,VNP46A3.A2017274.h10v00.001.2021126131119.h5,2021-05-06 13:16,4382204
90,VNP46A3.A2017274.h10v01.001.2021126131147.h5,2021-05-06 13:17,9103616
91,VNP46A3.A2017274.h10v02.001.2021126131125.h5,2021-05-06 13:17,14253120
92,VNP46A3.A2017274.h10v03.001.2021126131013.h5,2021-05-06 13:17,17584928
93,VNP46A3.A2017274.h10v04.001.2021126131030.h5,2021-05-06 13:17,20283448
94,VNP46A3.A2017274.h10v05.001.2021126131054.h5,2021-05-06 13:16,10060540
95,VNP46A3.A2017274.h10v06.001.2021126131730.h5,2021-05-06 13:27,2821536
96,VNP46A3.A2017274.h10v07.001.2021126131956.h5,2021-05-06 13:27,3665262
97,VNP46A3.A2017274.h10v08.001.2021126131523.h5,2021-05-06 13:24,11485096
98,VNP46A3.A2017274.h10v09.001.2021126133223.h5,2021-05-06 13:39,12560929
99,VNP46A3.A2017274.h10v10.001.2021126131144.h5,2021-05-06 13:25,7121163
100,VNP46A3.A2017274.h10v11.001.2021126131254.h5,2021-05-06 13:18,1855755
101,VNP46A3.A2017274.h10v12.001.2021126131245.h5,2021-05-06 13:18,6755514
102,VNP46A3.A2017274.h10v13.001.2021126131320.h5,2021-05-06 13:19,8443377
103,VNP46A3.A2017274.h10v14.001.2021126131151.h5,2021-05-06 13:17,3659978
104,VNP46A3.A2017274.h10v15.001.2021126131032.h5,2021-05-06 13:15,608904
105,VNP46A3.A2017274.h10v16.001.2021126131250.h5,2021-05-06 13:18,608904
106,VNP46A3.A2017274.h10v17.001.2021126191245.h5,2021-05-06 19:23,606832
107,VNP46A3.A2017274.h11v00.001.2021126131256.h5,2021-05-06 13:18,3476572
108,VNP46A3.A2017274.h11v01.001.2021126131325.h5,2021-05-06 13:18,6486650
109,VNP46A3.A2017274.h11v02.001.2021126131127.h5,2021-05-06 13:17,11571246
110,VNP46A3.A2017274.h11v03.001.2021126131139.h5,2021-05-06 13:18,17266688
111,VNP46A3.A2017274.h11v04.001.2021126132450.h5,2021-05-06 13:31,5826107
112,VNP46A3.A2017274.h11v05.001.2021126131455.h5,2021-05-06 13:20,625691
113,VNP46A3.A2017274.h11v07.001.2021126131257.h5,2021-05-06 13:18,3841048
114,VNP46A3.A2017274.h11v08.001.2021126133108.h5,2021-05-06 13:37,11349900
115,VNP46A3.A2017274.h11v09.001.2021126131155.h5,2021-05-06 13:21,9135570
116,VNP46A3.A2017274.h11v10.001.2021126151945.h5,2021-05-06 15:26,10939638
117,VNP46A3.A2017274.h11v11.001.2021126131215.h5,2021-05-06 13:29,12090407
118,VNP46A3.A2017274.h11v12.001.2021126131353.h5,2021-05-06 13:20,11431803
119,VNP46A3.A2017274.h11v13.001.2021126132559.h5,2021-05-06 13:33,4551833
120,VNP46A3.A2017274.h11v14.001.2021126131356.h5,2021-05-06 13:19,2337690
121,VNP46A3.A2017274.h11v15.001.2021126131209.h5,2021-05-06 13:17,1587339
122,VNP46A3.A2017274.h11v16.001.2021126133056.h5,2021-05-06 13:36,608904
123,VNP46A3.A2017274.h11v17.001.2021126191432.h5,2021-05-06 19:23,606832
124,VNP46A3.A2017274.h12v00.001.2021126131214.h5,2021-05-06 13:17,3216369
125,VNP46A3.A2017274.h12v01.001.2021126131140.h5,2021-05-06 13:17,14389172
126,VNP46A3.A2017274.h12v02.001.2021126131229.h5,2021-05-06 13:18,6789383
127,VNP46A3.A2017274.h12v03.001.2021126131245.h5,2021-05-06 13:18,2862493
128,VNP46A3.A2017274.h12v04.001.2021126131536.h5,2021-05-06 13:21,2769234
129,VNP46A3.A2017274.h12v08.001.2021126131556.h5,2021-05-06 13:22,7242564
130,VNP46A3.A2017274.h12v09.001.2021126132502.h5,2021-05-06 13:32,11813508
131,VNP46A3.A2017274.h12v10.001.2021126131333.h5,2021-05-06 13:20,11700842
132,VNP46A3.A2017274.h12v11.001.2021126132609.h5,2021-05-06 13:33,15476074
133,VNP46A3.A2017274.h12v12.001.2021126133435.h5,2021-05-06 13:46,7192254
134,VNP46A3.A2017274.h12v14.001.2021126131258.h5,2021-05-06 13:18,871529
135,VNP46A3.A2017274.h12v15.001.2021126132126.h5,2021-05-06 13:28,1269175
136,VNP46A3.A2017274.h12v16.001.2021126131452.h5,2021-05-06 13:21,608904
137,VNP46A3.A2017274.h12v17.001.2021126191229.h5,2021-05-06 19:23,606832
138,VNP46A3.A2017274.h13v00.001.2021126132902.h5,2021-05-06 13:35,3945166
139,VNP46A3.A2017274.h13v01.001.2021126132113.h5,2021-05-06 13:28,16483387
140,VNP46A3.A2017274.h13v02.001.2021126131245.h5,2021-05-06 13:19,14416097
141,VNP46A3.A2017274.h13v08.001.2021126131435.h5,2021-05-06 13:20,679097
142,VNP46A3.A2017274.h13v09.001.2021126131341.h5,2021-05-06 13:21,13488448
143,VNP46A3.A2017274.h13v10.001.2021126131235.h5,2021-05-06 13:19,14672942
144,VNP46A3.A2017274.h13v11.001.2021126131531.h5,2021-05-06 13:21,10900112
145,VNP46A3.A2017274.h13v15.001.2021126131300.h5,2021-05-06 13:18,648571
146,VNP46A3.A2017274.h13v16.001.2021126131208.h5,2021-05-06 13:17,608904
147,VNP46A3.A2017274.h13v17.001.2021126191342.h5,2021-05-06 19:23,606832
148,VNP46A3.A2017274.h14v00.001.2021126131327.h5,2021-05-06 13:18,4765195
149,VNP46A3.A2017274.h14v01.001.2021126131412.h5,2021-05-06 13:20,16000147
150,VNP46A3.A2017274.h14v02.001.2021126133115.h5,2021-05-06 13:37,7152102
151,VNP46A3.A2017274.h14v09.001.2021126131440.h5,2021-05-06 13:20,7369714
152,VNP46A3.A2017274.h14v10.001.2021126131611.h5,2021-05-06 13:22,4596107
153,VNP46A3.A2017274.h14v14.001.2021126131347.h5,2021-05-06 13:19,808768
154,VNP46A3.A2017274.h14v16.001.2021126131711.h5,2021-05-06 13:22,608904
155,VNP46A3.A2017274.h14v17.001.2021126191154.h5,2021-05-06 19:23,606832
156,VNP46A3.A2017274.h15v00.001.2021126131439.h5,2021-05-06 13:20,4008500
157,VNP46A3.A2017274.h15v01.001.2021126131321.h5,2021-05-06 13:19,15863738
